filename,full_path,source_type,competition,season,rows,columns,row_groups,size_mb,modified_utc,sha256,status,error
sofascore_match_team_stats__Netherlands_Eredivisie__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Netherlands_Eredivisie__2024_2025.parquet,sofascore_match_team_stats,Netherlands Eredivisie,2024-2025,39824,19,1,0.327,2026-07-30T22:04:19.256451368+00:00,3ce24178f9cd3822fba5faf59de21832730cae99cdaf6b3da29a05d4b89514fc,ok,
sofascore_match_team_stats__Netherlands_Eredivisie__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Netherlands_Eredivisie__2025_2026.parquet,sofascore_match_team_stats,Netherlands Eredivisie,2025-2026,40568,19,1,0.333,2026-07-30T21:19:12.951730728+00:00,df499e5a1dbd3cd38260718ee073fa122807e83a0b0f74d2f7796d6f607679c2,ok,
sofascore_match_team_stats__Portugal_Primeira_Liga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Portugal_Primeira_Liga__2023_2024.parquet,sofascore_match_team_stats,Portugal Primeira Liga,2023-2024,36479,19,1,0.288,2026-07-31T01:01:47.405143023+00:00,77c214ce60307e5f676b733af9a5ea81c5cdbeb645512f51906a35b5ee7858bc,ok,
sofascore_match_team_stats__Portugal_Primeira_Liga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Portugal_Primeira_Liga__2024_2025.parquet,sofascore_match_team_stats,Portugal Primeira Liga,2024-2025,38155,19,1,0.311,2026-07-31T00:17:57.499988556+00:00,fed183d925e323ce25b76db5038c94e68d278e75c0b9b62a6ccd522177d02699,ok,
sofascore_match_team_stats__Portugal_Primeira_Liga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Portugal_Primeira_Liga__2025_2026.parquet,sofascore_match_team_stats,Portugal Primeira Liga,2025-2026,38628,19,1,0.315,2026-07-30T23:33:19.477442503+00:00,491ed14ddd6df645ea1aac432b9ec9b8e48b172591a5b1ad8b0d0a84bc736490,ok,
sofascore_match_team_stats__Spain_La_Liga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Spain_La_Liga__2023_2024.parquet,sofascore_match_team_stats,Spain La Liga,2023-2024,44777,19,1,0.345,2026-07-30T13:24:12.940191507+00:00,373922e99d273ae554f870e21a57a675ed779d31f262d39d60b686df582a7f58,ok,
sofascore_match_team_stats__Spain_La_Liga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Spain_La_Liga__2024_2025.parquet,sofascore_match_team_stats,Spain La Liga,2024-2025,47236,19,1,0.383,2026-07-30T12:23:02.139249325+00:00,1997a0fa5e3e5dd2b8b247dd15a43d96ba01c2e22117bd32cc39f25e3b3a3e72,ok,
sofascore_match_team_stats__Spain_La_Liga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Spain_La_Liga__2025_2026.parquet,sofascore_match_team_stats,Spain La Liga,2025-2026,47963,19,1,0.386,2026-07-28T08:36:05.687632084+00:00,b3bdca58ab745dc8026256faaf0c97304ba2ebfd5ca3b516d33734ce477da954,ok,
sofascore_match_team_stats__UEFA_Champions_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Champions_League__2023_2024.parquet,sofascore_match_team_stats,UEFA Champions League,2023-2024,20971,19,1,0.179,2026-07-31T06:03:46.101970673+00:00,414828f9b973b75377cadf6a81180323fe1e9ff17611f34bbc0add593770cfa1,ok,
sofascore_match_team_stats__UEFA_Champions_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Champions_League__2024_2025.parquet,sofascore_match_team_stats,UEFA Champions League,2024-2025,27103,19,1,0.237,2026-07-31T04:52:38.249373436+00:00,e1bb5697217744cf8c103a9113f051e2b09bc91f0dcc6eca6c782fbd576db5a2,ok,
sofascore_match_team_stats__UEFA_Champions_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Champions_League__2025_2026.parquet,sofascore_match_team_stats,UEFA Champions League,2025-2026,29078,19,1,0.252,2026-07-31T02:53:04.545745611+00:00,ccfb957dc1214cde624ac11f1fa23add574508e3ac99df1a2ae66204867f1078,ok,
sofascore_match_team_stats__UEFA_Europa_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Europa_League__2023_2024.parquet,sofascore_match_team_stats,UEFA Europa League,2023-2024,17417,19,1,0.151,2026-07-31T10:07:37.404316425+00:00,844e234db07b25246bd7bb05a912d2942985025bfd04957a5ec68bbe59721b93,ok,
sofascore_match_team_stats__UEFA_Europa_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Europa_League__2024_2025.parquet,sofascore_match_team_stats,UEFA Europa League,2024-2025,24496,19,1,0.217,2026-07-31T09:27:02.466413975+00:00,7cbba979c193c50407b0977f737381bf71266a4be7f93f2e71361346be444d09,ok,
sofascore_match_team_stats__UEFA_Europa_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__UEFA_Europa_League__2025_2026.parquet,sofascore_match_team_stats,UEFA Europa League,2025-2026,24878,19,1,0.219,2026-07-31T07:43:33.827447414+00:00,84faa178052da080cb40e6f145887b7ac5de6b13ef7b61c20bde6e3b1b4f428d,ok,
transfermarkt__Argentina_Liga_Profesional__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\transfermarkt__Argentina_Liga_Profesional__2023_2024.parquet,transfermarkt,Argentina Liga Profesional,2023-2024,1922,18,1,0.084,2026-07-31T15:43:09.181984186+00:00,a4710f7fb0e0d6ff74057f27983659de40cfc7865bec12df516e9385c6a3d91f,ok,
transfermarkt__Argentina_Liga_Profesional__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\transfermarkt__Argentina_Liga_Profesional__2024_2025.parquet,transfermarkt,Argentina Liga Profesional,2024-2025,2401,18,1,0.097,2026-07-31T15:01:53.758356094+00:00,e7667638099f166b7703cc5c529fea72be1c024957363d44961134e83141b681,ok,
transfermarkt__Belgium_Pro_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\transfermarkt__Belgium_Pro_League__2023_2024.parquet,transfermarkt,Belgium Pro League,2023-2024,1153,18,1,0.061,2026-07-31T16:55:09.216118813+00:00,eb358568f7c32b27731533d33c26f292397cfbd877fcad23c959ad4f4c23d500,ok,
